hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,ADR,Revenue,market_segment,distribution_channel,to_name,company,lead_time,reservation_status_date,Reservation Status
1,Kasha Property,01/01/14,2014,Jan,Shoulder Season,EE,6,3,268.06,804.17,Leisure,TA/TO,Sunset Ltd,Company C,140,27/12/13,No Show
2,Casa Property,01/01/14,2014,Jan,Shoulder Season,LU,14,6,89.17,535.03,Business,OTA,Oceanic Travels,Company B,70,26/12/13,No Show
6,Fun Property,01/01/14,2014,Jan,Shoulder Season,LU,20,10,92.83,928.34,Leisure,OTA,ZanziTours,Company A,22,29/12/13,Confirmed
5,Loop Property,01/01/14,2014,Jan,Shoulder Season,IE,17,8,94.08,752.66,Leisure,TA/TO,TO Africa,Company A,180,18/12/13,Confirmed
4,Michamvi Property,01/01/14,2014,Jan,Shoulder Season,BE,18,10,93.59,935.9,Corporate,Website,Sunset Ltd,,45,07/12/13,Confirmed
7,Mwezi Property,01/01/14,2014,Jan,Shoulder Season,CZ,22,12,91.19,1094.27,Business,Group,Sunset Ltd,Company C,131,09/12/13,Canceled
3,Nur Property,01/01/14,2014,Jan,Shoulder Season,LU,17,9,81.17,730.56,Group,TA/TO,Sunset Ltd,,57,27/12/13,Canceled
1,Kasha Property,02/01/14,2014,Jan,Shoulder Season,JP,6,2,261.1,522.21,Corporate,OTA,ZanziTours,Company A,3,30/12/13,Canceled
2,Casa Property,02/01/14,2014,Jan,Shoulder Season,IN,14,7,94.69,662.8,Leisure,TA/TO,Oceanic Travels,Company B,67,24/12/13,Canceled
6,Fun Property,02/01/14,2014,Jan,Shoulder Season,LV,20,12,82.01,984.08,Group,TA/TO,TO Africa,,14,10/12/13,No Show
5,Loop Property,02/01/14,2014,Jan,Shoulder Season,SK,17,8,92.58,740.61,Leisure,TA/TO,Oceanic Travels,Company B,45,20/12/13,Confirmed
4,Michamvi Property,02/01/14,2014,Jan,Shoulder Season,BE,18,9,90.53,814.77,Business,Website,ZanziTours,,131,08/12/13,No Show
7,Mwezi Property,02/01/14,2014,Jan,Shoulder Season,AT,22,12,92.02,1104.27,Group,Corporate,Oceanic Travels,,8,23/12/13,Confirmed
3,Nur Property,02/01/14,2014,Jan,Shoulder Season,SG,17,8,83.56,668.49,Corporate,Corporate,Sunset Ltd,Company C,94,09/12/13,Confirmed
1,Kasha Property,03/01/14,2014,Jan,Shoulder Season,RO,6,3,247.58,742.75,Business,OTA,ZanziTours,Company A,64,26/12/13,Confirmed
2,Casa Property,03/01/14,2014,Jan,Shoulder Season,UK,14,9,82.13,739.18,Business,TA/TO,ZanziTours,Company C,155,10/12/13,Canceled
6,Fun Property,03/01/14,2014,Jan,Shoulder Season,UK,20,11,94.22,1036.42,Business,OTA,Oceanic Travels,,110,07/12/13,Canceled
5,Loop Property,03/01/14,2014,Jan,Shoulder Season,BR,17,10,87.62,876.19,Leisure,OTA,Sunset Ltd,Company A,80,17/12/13,No Show
4,Michamvi Property,03/01/14,2014,Jan,Shoulder Season,BE,18,11,94.88,1043.65,Group,Group,ZanziTours,Company A,173,15/12/13,Canceled
7,Mwezi Property,03/01/14,2014,Jan,Shoulder Season,AU,22,12,87.1,1045.23,Corporate,OTA,Sunset Ltd,,143,28/12/13,No Show
3,Nur Property,03/01/14,2014,Jan,Shoulder Season,DE,17,8,93.68,749.44,Business,OTA,ZanziTours,Company C,126,14/12/13,Canceled
1,Kasha Property,04/01/14,2014,Jan,Shoulder Season,IN,6,2,251.27,502.54,Group,Website,ZanziTours,Company B,73,06/12/13,No Show
